"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Whit Merrifield","Royals","96","198","215","60","38","13","4","5","21","20","14","1","38","1","1","1","5","7","3",".303","6.5 %","17.7 %",".350",".485",".835",".182",".353",".353","6.1","32","120","11281"
"Paulo Orlando","Royals","114","253","268","73","48","15","4","6","25","24","8","0","48","2","2","2","5","4","2",".289","3.0 %","17.9 %",".313",".451",".764",".162",".333",".326","2.1","33","103","8628"
"Cheslor Cuthbert","Royals","86","193","204","55","37","14","0","4","17","18","11","0","40","0","0","0","5","0","0",".285","5.4 %","19.6 %",".324",".420",".743",".135",".342",".321","0.4","25","99","10473"
"Jorge Soler","Royals","113","207","239","49","32","8","1","8","21","31","27","4","68","3","2","0","6","0","0",".237","11.3 %","28.5 %",".331",".401",".732",".164",".308",".315","-0.3","27","95","14221"
"Salvador Perez","Royals","335","730","773","183","121","26","2","34","61","99","32","8","117","5","6","0","27","1","0",".251","4.1 %","15.1 %",".285",".432",".716",".181",".255",".304","-7.0","81","88","7304"
"Alcides Escobar","Royals","371","793","856","211","154","42","7","8","53","67","39","3","116","3","6","15","24","6","2",".266","4.6 %","13.6 %",".301",".367",".668",".101",".301",".291","-17.2","80","79","6310"
"Drew Butera","Royals","86","146","162","30","20","6","1","3","12","9","13","1","43","1","0","2","0","0","0",".205","8.0 %","26.5 %",".275",".322",".597",".116",".270",".264","-6.8","12","63","3411"
