"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Wilson Ramos","Rays","220","428","462","125","90","16","0","19","36","84","26","5","70","0","7","0","22","0","0",".292","5.6 %","15.2 %",".328",".463",".790",".171",".306",".335","7.8","60","110","1433"
"Carlos Gomez","Rays","279","541","608","138","85","27","6","20","73","68","43","3","141","18","5","1","12","22","7",".255","7.1 %","23.2 %",".328",".438",".766",".183",".306",".333","8.0","77","108","4881"
"Jesus Sucre","Rays","65","112","127","31","21","6","0","4","10","19","9","0","17","0","2","4","6","0","0",".277","7.1 %","13.4 %",".325",".438",".763",".161",".290",".327","1.3","16","108","5942"
"Matt Duffy","Rays","130","269","294","73","60","7","1","5","21","26","20","0","37","4","1","0","9","2","1",".271","6.8 %","12.6 %",".330",".361",".691",".089",".298",".307","-2.0","32","95","13836"
"C.J. Cron","Rays","190","400","425","99","60","21","3","15","38","53","21","2","83","2","2","0","9","2","2",".248","4.9 %","19.5 %",".287",".428",".715",".180",".276",".306","-3.5","45","95","12546"
"Adeiny Hechavarria","Rays","276","532","578","143","110","18","8","7","43","47","42","2","102","0","2","2","16","5","4",".269","7.3 %","17.6 %",".321",".372",".693",".103",".320",".304","-5.2","60","91","10459"
