"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Denard Span","Rays","577","1856","2029","558","386","114","24","34","125","152","150","3","213","8","8","7","27","19","5",".301","7.4 %","10.5 %",".354",".443",".797",".142",".324",".346","50.4","281","119","8347"
"Kevin Kiermaier","Rays","409","1141","1248","307","188","61","20","38","89","103","91","5","221","8","2","6","15","13","6",".269","7.3 %","17.7 %",".327",".457",".784",".188",".304",".337","21.8","165","116","11038"
"Brad Miller","Rays","548","1500","1700","364","212","77","14","61","156","188","176","6","373","5","13","6","18","12","2",".243","10.4 %","21.9 %",".322",".435",".756",".192",".281",".327","15.3","210","109","12775"
"Mallex Smith","Rays","139","354","397","99","74","13","7","5","30","30","37","0","80","1","2","3","5","21","7",".280","9.3 %","20.2 %",".348",".398",".746",".119",".347",".326","1.8","50","103","13608"
"Joey Wendle","Rays","35","94","101","24","20","2","0","2","10","14","5","1","17","0","2","0","3","0","0",".255","5.0 %","16.8 %",".287",".340",".628",".085",".286",".268","-4.1","8","66","13853"
