"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Adam Duvall","Reds","330","959","1049","229","113","55","7","54","103","170","58","1","290","14","17","0","12","8","4",".239","5.5 %","27.6 %",".287",".480",".767",".241",".277",".321","2.0","127","97","10950"
"Eugenio Suarez","Reds","456","1294","1448","328","222","57","5","44","115","161","121","1","347","20","8","5","26","4","6",".253","8.4 %","24.0 %",".325",".407",".732",".154",".312",".319","3.2","172","97","12552"
"Devin Mesoraco","Reds","280","710","785","167","104","30","0","33","55","110","53","3","177","15","7","0","16","1","1",".235","6.8 %","22.5 %",".299",".417",".716",".182",".264",".314","-0.5","87","95","5666"
"Jose Peraza","Reds","197","552","587","151","128","13","4","6","27","47","18","1","81","11","3","3","5","10","2",".274","3.1 %","13.8 %",".308",".344",".652",".071",".310",".285","-17.4","53","72","13593"
"Homer Bailey","Reds","65","115","141","20","18","2","0","0","2","4","3","0","38","1","0","22","3","0","0",".174","2.1 %","27.0 %",".202",".191",".393",".017",".260",".178","-15.0","1","4","8362"
"Anthony DeSclafani","Reds","46","91","100","12","10","2","0","0","1","5","5","0","50","0","1","3","2","0","0",".132","5.0 %","50.0 %",".175",".154",".329",".022",".286",".152","-13.2","-2","-15","13050"
