"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Bryce Harper","Nationals","585","1578","1910","469","276","80","7","106","169","269","304","50","363","12","14","2","36","8","1",".297","15.9 %","19.0 %",".411",".558",".970",".261",".323",".407","141.3","360","158","11579"
"Daniel Murphy","Nationals","670","2048","2222","637","396","160","11","70","171","315","152","35","225","6","16","0","44","11","3",".311","6.8 %","10.1 %",".358",".502",".860",".191",".321",".364","89.5","342","132","4316"
"Matt Adams","Nationals","515","1329","1440","381","227","88","5","61","101","211","95","12","312","5","11","0","24","0","0",".287","6.6 %","21.7 %",".334",".498",".832",".211",".331",".354","45.0","208","125","9393"
"Adam Eaton","Nationals","474","1533","1732","440","299","80","28","33","109","142","150","4","296","27","7","15","10","11","5",".287","8.7 %","17.1 %",".359",".440",".800",".153",".336",".349","47.7","244","121","11205"
"Brian Goodwin","Nationals","90","245","269","59","27","20","1","11","26","30","21","2","65","1","2","0","4","2","0",".241","7.8 %","24.2 %",".301",".465",".766",".224",".281",".321","0.0","33","94","12858"
"Matt Wieters","Nationals","460","1289","1420","310","201","67","2","40","82","172","106","8","250","6","17","2","23","1","1",".240","7.5 %","17.6 %",".298",".389",".686",".148",".266",".297","-23.4","140","82","4298"
"Wilmer Difo","Nationals","139","295","329","77","63","11","1","2","22","20","26","6","67","1","3","4","6","7","1",".261","7.9 %","20.4 %",".320",".325",".645",".064",".328",".279","-11.5","28","67","14320"
