"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Travis Shaw","Brewers","194","329","355","82","40","26","1","15","20","57","19","1","92","4","2","1","8","0","0",".249","5.4 %","25.9 %",".297",".471",".768",".222",".299",".325","1.7","44","98","11982"
"Christian Yelich","Brewers","373","673","738","183","137","32","6","8","21","79","56","0","166","5","3","1","18","2","0",".272","7.6 %","22.5 %",".331",".373",".704",".101",".349",".311","-2.8","82","95","11477"
"Eric Thames","Brewers","73","99","111","18","9","3","0","6","9","11","9","0","41","3","0","0","1","0","1",".182","8.1 %","36.9 %",".270",".394",".664",".212",".231",".287","-3.2","10","71","3711"
"Eric Sogard","Brewers","160","206","235","46","37","6","0","3","12","27","18","0","45","6","0","5","2","2","0",".223","7.7 %","19.1 %",".304",".296",".600",".073",".272",".274","-7.4","19","70","7927"
"Stephen Vogt","Brewers","196","288","314","62","40","15","3","4","8","41","18","0","56","4","4","0","7","0","0",".215","5.7 %","17.8 %",".268",".330",".597",".115",".250",".263","-13.5","22","63","5000"
