"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Carlos Santana","Phillies","502","946","1105","257","172","52","2","31","95","127","148","11","141","5","6","0","34","2","1",".272","13.4 %","12.8 %",".371",".429",".800",".158",".290",".350","29.7","156","120","2396"
"Cesar Hernandez","Phillies","243","485","532","148","113","26","7","2","45","27","42","3","95","3","2","0","6","4","5",".305","7.9 %","17.9 %",".363",".400",".763",".095",".374",".332","7.0","69","106","10556"
"Aaron Altherr","Phillies","101","201","229","45","22","12","2","9","26","32","25","0","45","2","1","0","8","2","3",".224","10.9 %","19.7 %",".314",".438",".752",".214",".243",".323","1.1","28","99","11270"
"Maikel Franco","Phillies","198","375","415","87","55","12","0","20","42","58","32","6","72","6","2","0","10","0","1",".232","7.7 %","17.3 %",".301",".424",".725",".192",".235",".308","-3.2","46","90","12179"
"Pedro Florimon","Phillies","97","150","168","28","18","9","1","0","5","16","11","1","39","1","2","4","5","4","1",".187","6.5 %","23.2 %",".244",".260",".504",".073",".248",".224","-11.7","7","32","8385"
