"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Tommy La Stella","Cubs","71","97","109","30","21","7","1","1","5","16","12","0","16","0","0","0","3","0","0",".309","11.0 %","14.7 %",".385",".433",".818",".124",".363",".361","4.2","16","129","12371"
"Anthony Rizzo","Cubs","488","819","969","211","131","39","2","39","62","139","104","4","157","41","5","0","14","0","1",".258","10.7 %","16.2 %",".367",".453",".820",".195",".274",".359","34.2","144","125","3473"
"Jason Heyward","Cubs","394","670","746","157","115","27","5","10","36","75","62","0","155","9","2","2","5","5","1",".234","8.3 %","20.8 %",".307",".334",".641",".100",".290",".287","-16.7","68","78","4940"
"Kyle Schwarber","Cubs","100","138","159","22","12","4","1","5","9","19","21","0","61","0","0","0","0","1","0",".159","13.2 %","38.4 %",".270",".312",".582",".152",".236",".262","-7.3","12","57","16478"
