"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Tommy Pham","Cardinals","218","562","651","162","99","32","6","25","90","81","72","1","164","12","2","3","19","10","6",".288","11.1 %","25.2 %",".380",".500",".880",".212",".365",".377","31.6","109","136","2967"
"Paul DeJong","Cardinals","103","337","355","96","56","21","0","19","37","51","13","0","95","4","1","0","7","0","0",".285","3.7 %","26.8 %",".318",".516",".835",".231",".344",".351","8.9","52","117","18015"
"Jose Martinez","Cardinals","97","217","244","61","45","8","1","7","26","32","24","0","48","0","2","1","7","2","0",".281","9.8 %","19.7 %",".350",".424",".774",".143",".329",".335","2.9","33","106","7996"
"Marcell Ozuna","Cardinals","631","1959","2130","532","347","97","14","74","190","287","151","3","474","9","10","1","44","8","5",".272","7.1 %","22.3 %",".325",".449",".774",".177",".322",".334","32.3","276","110","10324"
"Yadier Molina","Cardinals","619","1855","2004","545","390","119","4","32","128","241","108","10","231","15","23","3","62","8","5",".294","5.4 %","11.5 %",".334",".414",".748",".120",".318",".323","12.6","241","104","7007"
"Jedd Gyorko","Cardinals","562","1562","1708","369","234","60","3","72","126","224","119","2","403","12","15","0","46","7","3",".236","7.0 %","23.6 %",".293",".417",".710",".181",".270",".307","-10.2","184","94","10816"
"Adam Wainwright","Cardinals","102","182","209","33","20","9","0","4","10","25","5","0","56","0","0","22","1","0","0",".181","2.4 %","26.8 %",".203",".297",".500",".115",".238",".216","-15.7","8","32","2233"
"Carlos Martinez","Cardinals","76","142","156","25","23","2","0","0","2","8","1","0","41","2","0","11","3","0","0",".176","0.6 %","26.3 %",".193",".190",".383",".014",".248",".171","-18.8","-1","1","11682"
"Michael Wacha","Cardinals","84","144","162","11","10","1","0","0","5","9","6","0","70","0","0","12","2","1","0",".076","3.7 %","43.2 %",".113",".083",".197",".007",".149",".095","-29.3","-11","-51","14078"
