"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Carlos Gomez","Rays","593","1783","1982","477","289","108","11","69","187","238","137","2","510","42","10","10","29","53","18",".268","6.9 %","25.7 %",".333",".457",".789",".189",".336",".343","43.7","268","114","4881"
"C.J. Cron","Rays","358","966","1050","259","166","47","2","44","81","161","52","0","231","18","9","0","24","4","3",".268","5.0 %","22.0 %",".315",".458",".772",".189",".307",".332","13.0","135","112","12546"
"Matt Duffy","Rays","245","697","748","198","142","37","7","12","53","87","34","0","126","7","5","5","27","10","1",".284","4.5 %","16.8 %",".322",".409",".731",".125",".330",".317","1.1","86","102","13836"
"Wilson Ramos","Rays","463","1365","1453","355","247","52","0","56","99","205","72","4","245","2","12","0","51","0","0",".260","5.0 %","16.9 %",".296",".421",".717",".161",".278",".309","-6.8","158","92","1433"
"Daniel Robertson","Rays","62","153","176","33","24","5","1","3","8","12","18","0","49","3","1","1","4","0","1",".216","10.2 %","27.8 %",".309",".320",".629",".105",".294",".282","-5.8","16","75","14145"
"Adeiny Hechavarria","Rays","631","1855","1968","466","362","64","27","13","87","145","83","16","298","5","14","10","59","13","2",".251","4.2 %","15.1 %",".283",".336",".619",".085",".291",".268","-73.6","149","67","10459"
"Jesus Sucre","Rays","118","303","329","64","49","10","0","5","12","30","8","0","62","5","3","10","9","1","0",".211","2.4 %","18.8 %",".241",".294",".535",".083",".247",".234","-22.1","16","43","5942"
"Nathan Eovaldi","Rays","43","76","88","6","6","0","0","0","2","1","1","0","44","0","0","11","0","0","0",".079","1.1 %","50.0 %",".091",".079",".170",".000",".188",".078","-16.0","-6","-61","9132"
