"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Khris Davis","Athletics","584","1624","1803","408","206","86","6","110","177","277","142","1","478","25","12","0","48","6","4",".251","7.9 %","26.5 %",".319",".515",".834",".264",".284",".354","56.4","264","124","9112"
"Jonathan Lucroy","Athletics","618","1810","2027","517","344","107","15","51","145","236","182","9","262","18","16","1","59","11","4",".286","9.0 %","12.9 %",".354",".446",".800",".160",".308",".347","52.3","282","115","7870"
"Matt Chapman","Athletics","78","208","233","48","19","17","2","10","21","28","22","0","61","2","1","0","2","0","1",".231","9.4 %","26.2 %",".309",".476",".785",".245",".275",".331","2.0","30","108","16505"
"Mark Canha","Athletics","168","413","457","102","54","28","2","18","35","66","28","0","112","11","4","1","11","4","1",".247","6.1 %","24.5 %",".309",".455",".764",".208",".293",".328","4.3","57","108","11445"
"Stephen Piscotty","Athletics","305","888","991","233","153","46","7","27","74","131","83","1","219","12","6","1","25","7","5",".262","8.4 %","22.1 %",".332",".421",".753",".159",".318",".326","6.4","123","104","13367"
"Chad Pinder","Athletics","84","220","237","50","26","11","1","12","18","38","10","0","74","4","2","0","4","1","0",".227","4.2 %","31.2 %",".271",".450",".721",".223",".279",".303","-3.5","25","88","15191"
"Marcus Semien","Athletics","444","1268","1398","298","189","64","8","37","81","134","117","2","339","4","4","5","25","7","3",".235","8.4 %","24.2 %",".301",".386",".686",".151",".291",".300","-18.4","143","88","12533"
"Josh Phegley","Athletics","181","420","451","87","51","25","1","10","25","52","19","0","94","6","4","2","13","1","1",".207","4.2 %","20.8 %",".249",".343",".592",".136",".241",".259","-20.5","31","59","9308"
"Jake Smolinski","Athletics","159","348","381","72","54","12","1","5","19","29","17","0","82","12","3","1","9","0","1",".207","4.5 %","21.5 %",".266",".290",".556",".083",".254",".250","-20.6","23","53","5408"
