"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Jose Abreu","White Sox","592","1861","2037","559","344","113","9","93","195","325","117","28","390","46","13","0","49","2","2",".300","5.7 %","19.1 %",".354",".521",".875",".220",".335",".371","89.5","324","136","15676"
"Kevan Smith","White Sox","76","171","185","52","39","11","0","2","7","18","7","0","33","2","3","2","6","0","0",".304","3.8 %","17.8 %",".333",".404",".737",".099",".360",".317","-0.6","22","97","12284"
"Avisail Garcia","White Sox","477","1428","1540","380","276","53","7","44","119","180","86","3","353","22","4","0","34","7","8",".266","5.6 %","22.9 %",".317",".405",".722",".139",".325",".314","-1.7","176","97","5760"
"Welington Castillo","White Sox","500","1377","1516","345","226","70","1","48","113","185","99","4","377","24","13","3","38","1","0",".251","6.5 %","24.9 %",".309",".407",".717",".157",".308",".312","-3.9","168","93","3256"
"Matt Davidson","White Sox","131","352","378","75","37","14","0","24","29","62","18","0","143","4","4","0","8","0","1",".213","4.8 %","37.8 %",".257",".457",".714",".244",".270",".299","-6.7","39","85","7226"
"Tim Anderson","White Sox","234","746","779","186","125","33","8","20","57","60","22","0","216","3","2","6","16","7","1",".249","2.8 %","27.7 %",".273",".395",".668",".146",".324",".285","-22.7","71","76","15172"
"Tyler Saladino","White Sox","203","566","606","126","94","18","4","10","38","39","28","0","139","5","3","4","18","12","4",".223","4.6 %","22.9 %",".264",".322",".586",".099",".276",".257","-30.5","41","57","10807"
"Adam Engel","White Sox","85","218","245","32","19","8","0","5","15","11","13","0","93","6","0","8","1","1","0",".147","5.3 %","38.0 %",".215",".252",".467",".106",".225",".210","-22.9","7","24","15082"
"James Shields","White Sox","40","75","81","13","11","2","0","0","6","1","0","0","30","0","0","6","0","0","0",".173","0.0 %","37.0 %",".173",".200",".373",".027",".289",".163","-9.9","-1","-2","7059"
