"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Mark Melancon","Giants","155.1","1.33","581","96","27","23","6","29","2","4","153",".175",".222",".239",".206","0.80",".231","0.35","5.56","2.59","26.3 %","4264"
"Tony Watson","Giants","117.0","1.62","460","90","22","21","5","21","0","11","98",".210",".270",".289",".251","0.95",".262","0.38","6.92","3.07","21.3 %","3132"
"Madison Bumgarner","Giants","198.1","2.41","760","138","58","53","13","29","0","7","242",".191",".231",".289",".230","0.84",".267","0.59","6.26","2.61","31.8 %","5524"
"Johnny Cueto","Giants","421.2","2.67","1722","366","138","125","35","121","5","13","391",".230",".291",".358",".285","1.15",".285","0.75","7.81","3.60","22.7 %","6893"
"Derek Holland","Giants","116.1","2.79","480","113","40","36","9","34","0","3","99",".255",".314",".357",".297","1.26",".310","0.70","8.74","3.52","20.6 %","4141"
"Will Smith","Giants","86.2","3.32","353","66","36","32","10","31","0","1","140",".206",".278",".355",".280","1.12",".327","1.04","6.85","2.12","39.7 %","8048"
"Hunter Strickland","Giants","60.1","4.03","271","64","28","27","4","28","8","2","40",".266",".347",".377",".308","1.52",".305","0.60","9.55","5.00","14.8 %","7836"
"Sam Dyson","Giants","104.0","4.24","469","108","52","49","10","56","10","6","65",".265",".366",".391",".329","1.58",".295","0.87","9.35","4.69","13.9 %","11710"
"Jeff Samardzija","Giants","510.2","4.69","2172","524","276","266","74","142","5","11","471",".260",".313",".457",".330","1.30",".305","1.30","9.23","3.93","21.7 %","3254"
