"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Enrique Hernandez","Dodgers","205","382","442","103","50","30","4","19","43","53","57","3","89","1","2","0","5","0","1",".270","12.9 %","20.1 %",".364",".518",".883",".249",".304",".373","20.1","72","137","10472"
"Austin Barnes","Dodgers","72","130","158","32","14","12","0","6","9","23","24","0","23","4","0","0","6","3","0",".246","15.2 %","14.6 %",".380",".477",".857",".231",".257",".370","6.7","26","132","12158"
"Justin Turner","Dodgers","321","608","698","172","109","37","2","24","58","82","73","5","104","10","7","0","18","3","2",".283","10.5 %","14.9 %",".365",".469",".834",".186",".304",".359","24.6","105","128","5235"
"Logan Forsythe","Dodgers","306","623","712","167","92","46","5","24","88","87","72","2","145","6","9","2","10","4","3",".268","10.1 %","20.4 %",".345",".474",".819",".205",".309",".352","21.2","102","125","7185"
"Matt Kemp","Dodgers","297","578","641","163","101","33","2","27","69","99","52","14","119","1","9","0","26","9","1",".282","8.1 %","18.6 %",".338",".486",".824",".204",".308",".346","15.4","88","120","5631"
"Yasiel Puig","Dodgers","282","538","627","140","92","25","2","21","55","57","76","9","106","8","4","1","12","2","4",".260","12.1 %","16.9 %",".358",".431",".789",".171",".287",".342","12.9","84","119","14225"
"Chris Taylor","Dodgers","123","251","276","70","45","17","4","4","31","15","22","0","72","0","1","2","3","3","2",".279","8.0 %","26.1 %",".336",".426",".762",".147",".375",".329","2.8","35","108","13757"
"Trayce Thompson","Dodgers","70","144","156","34","16","9","4","5","10","14","12","1","37","0","0","0","3","1","0",".236","7.7 %","23.7 %",".295",".458",".753",".222",".284",".319","-0.1","18","101","9952"
"Yasmani Grandal","Dodgers","245","331","402","75","54","13","0","8","26","34","63","3","97","3","4","1","9","0","0",".227","15.7 %","24.1 %",".352",".338",".690",".112",".291",".311","-1.4","45","97","11368"
