"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Justin Bour","Marlins","348","950","1071","266","163","44","1","58","77","184","112","20","206","2","7","0","27","0","0",".280","10.5 %","19.2 %",".355",".512",".866",".232",".300",".364","41.4","166","130","9744"
"Derek Dietrich","Marlins","436","1120","1292","284","170","60","15","39","81","134","104","10","264","56","11","1","10","0","2",".254","8.0 %","20.4 %",".344",".438",".782",".185",".296",".338","22.9","172","113","10542"
"J.T. Riddle","Marlins","61","167","184","41","27","10","1","3","11","20","11","2","36","0","4","2","5","0","0",".246","6.0 %","19.6 %",".286",".371",".657",".126",".288",".276","-6.9","15","68","17642"
"Tomas Telis","Marlins","86","182","190","45","35","7","2","1","8","17","4","1","19","4","0","0","5","0","0",".247","2.1 %","10.0 %",".279",".324",".603",".077",".272",".263","-8.1","14","61","10067"
