"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Victor Martinez","Tigers","639","1850","2075","523","367","88","0","68","111","278","183","45","222","19","23","0","62","0","2",".283","8.8 %","10.7 %",".349",".441",".790",".158",".287",".337","36.5","272","112","393"
"Jeimer Candelario","Tigers","41","114","129","29","21","5","0","3","6","11","13","0","29","2","0","0","2","0","0",".254","10.1 %","22.5 %",".341",".377",".718",".123",".317",".318","-0.3","15","95","13621"
"Leonys Martin","Tigers","520","1353","1497","339","245","52","15","27","107","117","109","5","320","8","10","17","17","21","9",".251","7.3 %","21.4 %",".308",".371",".679",".120",".307",".298","-19.9","148","85","11846"
"Francisco Liriano","Tigers","84","152","168","28","23","3","0","2","5","11","5","0","53","0","0","11","1","0","0",".184","3.0 %","31.5 %",".210",".243",".454",".059",".268",".201","-15.2","4","19","3201"
