"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Andrew Benintendi","Red Sox","180","538","612","155","98","34","2","21","43","93","59","7","102","7","7","1","13","3","1",".288","9.6 %","16.7 %",".362",".476",".838",".188",".318",".354","17.0","91","118","17901"
"Mitch Moreland","Red Sox","573","1580","1759","392","227","85","2","78","138","238","141","14","378","22","16","0","38","1","1",".248","8.0 %","21.5 %",".316",".453",".768",".204",".275",".328","16.4","219","101","3086"
"Blake Swihart","Red Sox","102","270","292","74","52","14","4","4","18","30","21","0","78","0","1","0","4","1","3",".274","7.2 %","26.7 %",".325",".400",".725",".126",".370",".316","0.4","34","95","13176"
"Jackie Bradley Jr.","Red Sox","472","1229","1387","289","168","62","11","48","100","170","132","9","342","15","10","1","26","12","2",".235","9.5 %","24.7 %",".315",".421",".735",".186",".284",".316","1.1","162","94","12984"
"Rafael Devers","Red Sox","57","172","183","43","25","10","0","8","17","26","11","3","40","0","0","0","4","0","0",".250","6.0 %","21.9 %",".295",".448",".743",".198",".282",".309","-1.8","20","87","17350"
"Brock Holt","Red Sox","370","1046","1165","273","201","53","7","12","72","94","94","0","195","6","10","9","19","5","2",".261","8.1 %","16.7 %",".323",".359",".682",".098",".307",".302","-11.9","120","85","9345"
"Marco Hernandez","Red Sox","42","85","90","22","17","4","0","1","6","4","5","0","20","0","0","0","0","0","0",".259","5.6 %","22.2 %",".300",".341",".641",".082",".328",".281","-2.9","8","69","13154"
"Sandy Leon","Red Sox","194","505","561","120","86","23","2","9","29","46","42","3","143","3","3","8","10","0","1",".238","7.5 %","25.5 %",".298",".345",".643",".107",".312",".281","-16.9","49","69","5273"
