"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Cody Bellinger","Dodgers","87","155","173","42","22","6","2","12","13","42","15","0","42","1","2","0","1","0","0",".271","8.7 %","24.3 %",".335",".568",".903",".297",".291",".374","7.7","29","134","15998"
"Corey Seager","Dodgers","222","405","451","117","76","24","2","15","30","57","38","1","103","5","3","0","7","0","0",".289","8.4 %","22.8 %",".355",".469",".824",".180",".352",".353","12.9","67","122","13624"
"Chase Utley","Dodgers","353","543","618","115","71","27","4","13","36","61","54","1","110","14","7","0","7","9","1",".212","8.7 %","17.8 %",".296",".348",".644",".136",".239",".287","-13.2","56","80","1679"
"Joc Pederson","Dodgers","173","234","268","43","27","8","0","8","14","28","31","2","87","0","1","2","5","0","0",".184","11.6 %","32.5 %",".278",".321",".599",".137",".250",".265","-11.2","20","66","11899"
"Clayton Kershaw","Dodgers","58","94","103","9","8","1","0","0","4","1","2","0","34","0","0","7","4","0","0",".096","1.9 %","33.0 %",".115",".106",".221",".011",".150",".101","-17.5","-6","-44","2036"
