"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Eric Thames","Brewers","131","370","440","98","46","23","4","25","44","52","66","5","122","4","0","0","5","1","0",".265","15.0 %","27.7 %",".382",".551",".933",".286",".327",".390","25.6","79","138","3711"
"Christian Yelich","Brewers","592","1805","2074","536","363","114","8","51","118","214","244","14","413","11","11","2","41","14","3",".297","11.8 %","19.9 %",".382",".454",".836",".157",".359",".363","79.5","317","130","11477"
"Travis Shaw","Brewers","327","915","1029","242","143","52","2","45","79","151","102","10","236","5","7","0","23","2","1",".264","9.9 %","22.9 %",".339",".473",".812",".209",".307",".344","22.0","144","110","11982"
"Stephen Vogt","Brewers","469","1330","1467","351","225","67","6","53","109","177","119","13","247","3","12","3","14","1","2",".264","8.1 %","16.8 %",".323",".443",".766",".179",".286",".328","14.0","182","108","5000"
"Jonathan Villar","Brewers","407","1090","1221","276","194","50","6","26","79","98","113","6","340","4","3","11","17","49","13",".253","9.3 %","27.8 %",".325",".382",".706",".128",".344",".309","-7.0","134","90","10071"
"Eric Sogard","Brewers","415","1074","1204","277","211","55","7","4","84","85","108","5","130","6","7","9","24","16","7",".258","9.0 %","10.8 %",".327",".333",".661",".075",".288",".295","-17.9","118","85","7927"
