"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Luke Gregerson","Cardinals","174.1","2.74","685","133","61","53","21","31","4","6","192",".205",".250",".353",".261","0.94",".257","1.08","6.87","2.87","28.0 %","4090"
"Brett Cecil","Cardinals","158.1","2.96","647","126","55","52","15","57","13","2","195",".214",".287",".345",".271","1.16",".294","0.85","7.16","2.91","30.1 %","2660"
"Carlos Martinez","Cardinals","369.0","2.98","1481","297","127","122","23","93","8","29","405",".219",".286",".312",".265","1.06",".294","0.56","7.24","3.12","27.4 %","11682"
"Adam Wainwright","Cardinals","444.1","3.40","1775","406","175","168","32","79","6","16","359",".242",".287",".368",".285","1.09",".290","0.65","8.22","3.42","20.2 %","2233"
"Matt Bowman","Cardinals","75.2","3.57","320","72","37","30","6","19","1","5","61",".243",".303",".364",".290","1.20",".288","0.71","8.56","3.68","19.1 %","13528"
"Dominic Leone","Cardinals","112.2","3.59","465","101","50","45","11","35","3","2","118",".236",".297",".394",".295","1.21",".301","0.88","8.07","3.58","25.4 %","13763"
"Bud Norris","Cardinals","300.1","4.05","1236","279","144","135","29","84","3","17","267",".246",".309",".387",".305","1.21",".298","0.87","8.36","3.73","21.6 %","9492"
"Tyler Lyons","Cardinals","171.0","4.26","723","163","91","81","26","51","4","7","171",".245",".308",".439",".321","1.25",".293","1.37","8.58","3.52","23.7 %","11334"
"Michael Wacha","Cardinals","357.1","4.48","1514","372","194","178","42","103","6","8","339",".265",".322",".427",".323","1.33",".323","1.06","9.37","3.65","22.4 %","14078"
