"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Trevor Story","Rockies","122","233","268","68","29","19","1","19","38","44","32","4","90","2","0","1","7","3","2",".292","11.9 %","33.6 %",".382",".627","1.009",".335",".395",".415","21.4","54","144","12564"
"Nolan Arenado","Rockies","344","693","784","217","124","44","7","42","95","133","78","22","100","4","8","1","22","0","1",".313","9.9 %","12.8 %",".382",".579",".961",".266",".313",".398","52.3","142","135","9777"
"Pat Valaika","Rockies","63","83","90","24","11","7","0","6","9","16","5","0","24","0","0","2","0","0","0",".289","5.6 %","26.7 %",".330",".590",".920",".301",".340",".382","4.7","16","120","14885"
"Chris Iannetta","Rockies","284","513","622","135","85","26","0","24","62","74","96","4","129","5","8","0","11","0","0",".263","15.4 %","20.7 %",".379",".454",".834",".191",".302",".363","24.0","94","133","8267"
"DJ LeMahieu","Rockies","345","681","769","216","169","30","6","11","74","74","74","5","109","0","7","7","20","13","3",".317","9.6 %","14.2 %",".381",".427",".808",".110",".361",".351","23.1","111","104","9874"
"Ian Desmond","Rockies","314","637","699","179","121","36","0","22","73","94","50","5","159","3","6","3","17","12","5",".281","7.2 %","22.7 %",".333",".441",".774",".160",".340",".334","10.7","90","107","6885"
