"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Joe Mauer","Twins","387","722","805","200","156","30","2","12","22","94","75","3","144","4","3","1","16","0","0",".277","9.3 %","17.9 %",".347",".374",".721",".097",".330",".320","3.0","94","99","1857"
"Eddie Rosario","Twins","195","362","386","101","74","15","6","6","12","39","12","0","86","2","6","4","8","1","0",".279","3.1 %","22.3 %",".301",".403",".704",".124",".344",".301","-5.6","40","84","12155"
"Logan Morrison","Twins","280","494","552","116","78","29","0","9","16","48","49","1","120","7","1","1","9","1","0",".235","8.9 %","21.7 %",".312",".348",".660",".113",".292",".294","-9.6","54","86","9205"
"Jason Castro","Twins","297","503","549","110","73","25","1","11","20","50","39","0","162","5","1","1","17","1","0",".219","7.1 %","29.5 %",".281",".338",".619",".119",".299",".275","-17.6","45","71","8722"
"Max Kepler","Twins","141","244","271","43","27","11","1","4","10","26","17","0","75","5","3","2","3","0","0",".176","6.3 %","27.7 %",".242",".279",".520",".102",".232",".231","-20.0","12","36","12144"
