"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Nick Delmonico","White Sox","41","110","127","29","19","3","0","7","12","18","16","0","23","1","0","0","4","1","0",".264","12.6 %","18.1 %",".362",".482",".844",".218",".275",".362","4.4","20","128","13157"
"Yoan Moncada","White Sox","54","147","173","34","19","7","2","6","14","18","24","0","60","2","0","0","0","1","0",".231","13.9 %","34.7 %",".347",".429",".775",".197",".346",".337","2.5","23","111","17232"
"Omar Narvaez","White Sox","112","290","332","80","68","10","0","2","16","20","40","2","43","0","1","1","7","0","0",".276","12.0 %","13.0 %",".363",".331",".694",".055",".317",".311","-2.5","38","93","13338"
"Yolmer Sanchez","White Sox","302","847","919","206","143","38","7","18","55","84","49","2","196","10","4","9","14","4","5",".243","5.3 %","21.3 %",".291",".368",".660",".125",".295",".286","-22.5","85","77","11602"
"Leury Garcia","White Sox","170","396","430","88","61","12","4","11","33","35","21","1","125","8","3","2","6","12","4",".222","4.9 %","29.1 %",".273",".356",".629",".134",".293",".273","-15.0","35","67","5913"
