"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Blake Parker","Angels","68.2","2.49","270","46","20","19","5","22","0","1","83",".186",".256",".293",".246","0.99",".258","0.66","6.03","2.97","30.7 %","5224"
"Jose Alvarez","Angels","96.2","3.17","400","94","40","34","11","19","1","4","88",".249",".293",".384",".293","1.17",".299","1.02","8.75","3.73","22.0 %","5358"
"Garrett Richards","Angels","320.0","3.38","1315","271","127","120","22","106","7","5","285",".225",".292",".326",".275","1.18",".278","0.62","7.62","3.25","21.7 %","9784"
"Matt Shoemaker","Angels","268.0","4.16","1104","266","129","124","33","56","0","5","216",".255",".298",".422",".310","1.20",".293","1.11","8.93","4.05","19.6 %","4776"
"Tyler Skaggs","Angels","61.0","4.28","266","69","33","29","5","18","2","1","48",".279",".331",".416",".323","1.43",".330","0.74","10.18","4.18","18.1 %","10190"
"JC Ramirez","Angels","126.1","4.56","555","133","70","64","21","50","4","8","85",".268",".345",".462",".344","1.45",".286","1.50","9.47","4.87","15.3 %","8302"
"Jim Johnson","Angels","150.1","4.67","672","165","87","78","14","61","11","9","141",".274",".352",".398",".326","1.50",".338","0.84","9.88","3.78","21.0 %","3656"
"Blake Wood","Angels","68.1","7.38","310","72","59","56","11","38","5","2","75",".267",".362",".462",".348","1.61",".332","1.45","9.48","4.22","24.2 %","1345"
