"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Alex Gordon","Royals","415","762","876","197","132","34","5","26","44","93","79","2","196","29","5","1","13","0","2",".259","9.0 %","22.4 %",".349",".419",".767",".160",".314",".339","16.1","115","113","5209"
"Jon Jay","Royals","288","436","496","125","103","19","1","2","23","52","42","0","94","9","3","6","12","4","1",".287","8.5 %","19.0 %",".359",".349",".708",".062",".359",".319","1.2","58","100","5227"
"Mike Moustakas","Royals","329","585","638","143","92","26","0","25","33","75","36","0","88","8","5","4","16","0","2",".244","5.6 %","13.8 %",".295",".417",".712",".173",".247",".308","-2.9","70","92","4892"
"Lucas Duda","Royals","311","458","510","95","54","23","0","18","22","61","44","0","167","6","2","0","12","0","0",".207","8.6 %","32.7 %",".284",".376",".660",".168",".280",".291","-9.7","48","85","2502"
