"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Cole Hamels","Rangers","211.1","2.60","867","172","68","61","15","74","1","7","183",".219",".294",".334",".281","1.16",".267","0.64","7.32","3.70","21.1 %","4972"
"Jake Diekman","Rangers","87.2","2.87","369","72","35","28","4","34","0","4","102",".218",".300",".288",".268","1.21",".302","0.41","7.39","2.77","27.6 %","5003"
"Martin Perez","Rangers","133.2","3.03","562","120","52","45","10","41","0","7","117",".233",".302",".338",".285","1.20",".284","0.67","8.08","3.47","20.8 %","6902"
"Mike Minor","Rangers","105.1","3.16","434","99","37","37","6","28","0","2","116",".245",".299",".344",".286","1.21",".330","0.51","8.46","2.91","26.7 %","10021"
"Tim Lincecum","Rangers","232.0","4.00","999","221","111","103","19","105","7","3","195",".248",".332",".380",".314","1.41",".298","0.74","8.57","3.93","19.5 %","5705"
"Doug Fister","Rangers","387.0","4.21","1683","430","198","181","50","114","6","23","272",".278",".339",".440",".338","1.41",".310","1.16","10.00","4.48","16.2 %","9425"
"Jesse Chavez","Rangers","286.1","4.37","1235","304","148","139","37","94","7","10","243",".269",".331",".419",".326","1.39",".314","1.16","9.56","4.04","19.7 %","5448"
"Matt Moore","Rangers","152.1","5.20","677","166","92","88","21","54","1","9","128",".270",".340",".439",".337","1.44",".312","1.24","9.81","4.52","18.9 %","1890"
