"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Chaz Roe","Rays","67.1","2.67","271","45","23","20","5","31","3","1","81",".188",".287",".315",".266","1.13",".261","0.67","6.01","3.30","29.9 %","9866"
"Sergio Romo","Rays","179.1","3.01","673","119","62","60","21","30","3","2","224",".186",".225",".328",".239","0.83",".247","1.05","5.97","2.66","33.3 %","9817"
"Alex Colome","Rays","142.0","3.17","565","125","54","50","14","26","4","7","125",".235",".282",".358",".276","1.06",".282","0.89","7.92","3.80","22.1 %","6661"
"Chris Archer","Rays","447.1","3.52","1863","393","201","175","48","135","0","15","479",".229",".292",".354",".285","1.18",".291","0.97","7.91","3.41","25.7 %","6345"
"Nathan Eovaldi","Rays","311.0","4.17","1280","302","151","144","27","76","4","5","233",".252",".303",".381",".299","1.22",".293","0.78","8.74","3.70","18.2 %","9132"
"Blake Snell","Rays","181.0","4.18","786","175","96","84","20","90","1","0","176",".251",".339",".404",".324","1.46",".310","0.99","8.70","4.61","22.4 %","13543"
"Matt Andriese","Rays","148.0","4.62","643","169","80","76","23","35","3","5","129",".280",".325",".459",".333","1.38",".324","1.40","10.28","4.12","20.1 %","12022"
"Daniel Hudson","Rays","101.0","5.35","452","108","70","60","11","37","3","5","112",".263",".333",".404",".319","1.44",".338","0.98","9.62","3.67","24.8 %","7146"
