"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Curtis Granderson","Blue Jays","616","1759","2071","421","227","98","10","86","186","203","277","14","421","19","14","2","16","9","5",".239","13.4 %","20.3 %",".347",".453",".800",".214",".265",".346","51.1","288","121","4747"
"Justin Smoak","Blue Jays","518","1354","1545","320","175","64","2","79","134","202","178","5","401","9","4","0","35","0","1",".236","11.5 %","26.0 %",".328",".462",".790",".225",".274",".341","30.8","209","115","9054"
"Yangervis Solarte","Blue Jays","477","1357","1500","369","249","69","5","46","89","185","117","5","171","14","9","3","31","1","1",".272","7.8 %","11.4 %",".334",".432",".766",".160",".281",".332","19.8","192","111","5352"
"Kendrys Morales","Blue Jays","645","1763","1951","430","257","94","1","78","142","256","155","8","372","22","11","0","68","0","0",".244","7.9 %","19.1 %",".311",".431",".742",".187",".266",".321","6.9","231","101","8610"
"Dalton Pompey","Blue Jays","39","101","110","22","10","7","2","3","7","9","7","0","28","2","0","0","0","1","1",".218","6.4 %","25.5 %",".282",".416",".698",".198",".271",".304","-0.9","11","91","12797"
"Jaime Garcia","Blue Jays","66","118","136","14","13","1","0","0","4","7","3","0","43","1","0","14","1","0","0",".119","2.2 %","31.6 %",".148",".127",".275",".008",".187",".127","-20.2","-5","-24","8137"
