"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Craig Kimbrel","Red Sox","159.2","1.63","611","75","34","29","10","56","1","6","247",".137",".226",".217",".206","0.82",".223","0.56","4.23","2.30","40.4 %","6655"
"Chris Sale","Red Sox","857.0","3.23","3461","731","334","308","102","183","6","46","1022",".226",".278",".373",".284","1.07",".298","1.07","7.68","3.03","29.5 %","10603"
"David Price","Red Sox","724.1","3.31","2945","667","300","266","78","153","4","12","743",".240",".283",".387",".292","1.13",".301","0.97","8.29","3.30","25.2 %","3184"
"Heath Hembree","Red Sox","107.1","3.35","455","102","49","40","17","34","2","1","105",".243",".302",".406",".304","1.27",".285","1.43","8.55","4.24","23.1 %","11632"
"Tyler Thornburg","Red Sox","106.1","3.55","445","91","49","42","11","40","2","6","102",".228",".311",".382",".304","1.23",".280","0.93","7.70","4.26","22.9 %","10688"
"Matt Barnes","Red Sox","116.0","3.80","491","112","52","49","12","43","1","3","120",".252",".324",".388",".311","1.34",".319","0.93","8.69","3.67","24.4 %","12863"
"Rick Porcello","Red Sox","472.1","4.17","1934","479","247","219","57","73","1","22","394",".260",".297",".408",".305","1.17",".304","1.09","9.13","3.48","20.4 %","2717"
"Joe Kelly","Red Sox","243.1","4.55","1044","245","128","123","24","82","2","15","188",".259",".329",".390",".316","1.34",".301","0.89","9.06","3.86","18.0 %","9761"
