"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Matt Carpenter","Cardinals","684","1944","2318","555","325","146","14","70","157","255","328","17","402","24","17","5","12","4","2",".285","14.2 %","17.3 %",".392",".483",".875",".198",".326",".378","117.4","381","141","8090"
"Dexter Fowler","Cardinals","582","1725","2041","433","275","79","25","54","155","177","274","8","480","24","13","5","23","26","7",".251","13.4 %","23.5 %",".359",".420",".779",".169",".315",".342","44.3","277","112","4062"
"Greg Garcia","Cardinals","255","458","548","124","93","22","2","7","25","38","75","5","101","10","2","3","8","0","0",".271","13.7 %","18.4 %",".383",".373",".757",".103",".332",".337","8.4","73","110","10951"
"Kolten Wong","Cardinals","474","1300","1458","334","225","67","16","26","87","123","115","16","217","29","10","4","28","10","4",".257","7.9 %","14.9 %",".329",".393",".722",".136",".289",".313","-1.3","165","97","12532"
