"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Michael Conforto","Mets","258","690","805","189","96","49","2","42","84","119","98","7","182","11","6","0","10","3","0",".274","12.2 %","22.6 %",".370",".533",".904",".259",".311",".380","41.7","137","142","16376"
"Adrian Gonzalez","Mets","641","1823","2042","529","333","112","0","84","155","310","188","35","331","5","24","0","41","1","2",".290","9.2 %","16.2 %",".354",".490",".844",".200",".311",".359","71.2","302","131","1908"
"Brandon Nimmo","Mets","89","201","238","56","39","10","1","6","27","26","32","1","60","3","2","0","3","1","0",".279","13.4 %","25.2 %",".382",".428",".810",".149",".365",".353","6.7","35","121","12927"
"Jay Bruce","Mets","689","1977","2206","498","264","116","10","108","171","346","211","33","517","3","15","0","37","2","5",".252","9.6 %","23.4 %",".323",".485",".807",".233",".285",".341","46.6","298","114","9892"
"Asdrubal Cabrera","Mets","648","1836","2048","460","280","106","9","65","166","218","167","9","383","25","15","5","49","16","6",".251","8.2 %","18.7 %",".319",".424",".743",".174",".282",".322","11.5","245","103","4962"
"Jose Reyes","Mets","512","1642","1786","449","323","80","14","32","128","149","122","2","235","2","8","12","9","34","12",".273","6.8 %","13.2 %",".323",".398",".721",".124",".302",".315","-0.5","202","97","1736"
"Dominic Smith","Mets","47","136","146","29","16","4","0","9","10","23","9","0","36","1","0","0","2","0","0",".213","6.2 %","24.7 %",".267",".441",".708",".228",".220",".300","-2.6","15","85","15653"
"Noah Syndergaard","Mets","48","91","106","20","12","4","0","4","6","9","9","0","50","0","0","6","1","0","0",".220","8.5 %","47.2 %",".290",".396",".686",".176",".432",".299","-1.6","11","87","11762"
"Jacob deGrom","Mets","96","182","205","37","32","4","0","1","12","11","9","0","48","0","0","14","7","1","0",".203","4.4 %","23.4 %",".241",".242",".483",".038",".271",".217","-16.4","7","33","10954"
