"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Jeremy Jeffress","Brewers","153.1","2.41","621","138","45","41","11","47","1","4","133",".242",".307",".337",".285","1.21",".298","0.65","8.10","3.19","21.4 %","9490"
"Matt Albers","Brewers","137.2","2.81","562","120","49","43","13","35","1","6","117",".230",".289",".354",".281","1.13",".274","0.85","7.85","3.36","20.8 %","4300"
"Brent Suter","Brewers","73.2","3.30","311","80","29","27","8","19","1","1","61",".275",".324",".403",".313","1.34",".324","0.98","9.77","3.94","19.6 %","13942"
"Jhoulys Chacin","Brewers","327.0","3.39","1326","289","133","123","26","95","3","13","291",".237",".302",".364",".294","1.17",".292","0.72","7.95","3.68","22.0 %","2608"
"Corey Knebel","Brewers","83.1","3.67","357","79","36","34","10","35","2","2","120",".247",".325",".403",".317","1.37",".363","1.08","8.53","3.08","33.6 %","15010"
"Jimmy Nelson","Brewers","330.2","3.78","1390","317","160","139","28","94","2","29","293",".250",".320",".365",".302","1.24",".305","0.76","8.63","3.73","21.1 %","10547"
"Chase Anderson","Brewers","305.2","4.15","1299","331","153","141","46","85","3","11","257",".275",".331",".473",".344","1.36",".317","1.35","9.75","4.12","19.8 %","6895"
"Zach Davies","Brewers","200.2","4.31","846","213","104","96","18","44","1","6","142",".268",".313",".398",".307","1.28",".307","0.81","9.55","3.85","16.8 %","13183"
"Boone Logan","Brewers","72.2","7.18","322","77","62","58","14","33","10","1","74",".267",".349",".464",".342","1.51",".315","1.73","9.54","4.07","23.0 %","5525"
