"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Eric Hosmer","Padres","490","1005","1081","279","203","46","5","25","45","143","62","3","180","4","9","1","25","1","1",".278","5.7 %","16.7 %",".319",".408",".727",".130",".314",".315","-0.2","123","96","3516"
"Cory Spangenberg","Padres","129","207","231","49","42","4","0","3","6","20","17","0","74","4","1","2","0","1","0",".237","7.4 %","32.0 %",".306",".300",".605",".063",".351",".273","-8.7","18","71","12294"
"Carlos Asuaje","Padres","43","83","91","19","16","2","0","1","3","3","6","0","15","0","0","2","2","0","0",".229","6.6 %","16.5 %",".281",".289",".570",".060",".269",".254","-5.1","6","56","15197"
"Travis Jankowski","Padres","80","120","132","20","17","2","0","1","4","6","8","0","39","1","0","3","3","1","1",".167","6.1 %","29.5 %",".225",".208",".433",".042",".238",".200","-12.9","3","22","13768"
