"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","OBP","SLG","OPS","ISO","BABIP","wOBA","wRAA","wRC","wRC+","playerid"
"Starling Marte","Pirates","587","1912","2102","557","380","107","22","48","202","208","103","9","436","71","8","8","31","101","23",".291","4.9 %","20.7 %",".349",".446",".795",".154",".354",".346","52.3","290","120","9241"
"Francisco Cervelli","Pirates","352","962","1111","261","193","52","3","13","84","98","119","2","219","22","6","2","27","5","2",".271","10.7 %","19.7 %",".362",".372",".735",".101",".337",".328","10.1","138","106","5275"
"Josh Harrison","Pirates","513","1538","1655","431","295","95","13","28","122","149","63","0","260","29","12","13","22","27","8",".280","3.8 %","15.7 %",".319",".414",".732",".133",".319",".318","2.3","192","100","8202"
"David Freese","Pirates","610","1684","1888","428","307","82","1","38","139","204","146","2","472","48","10","0","61","1","2",".254","7.7 %","25.0 %",".329",".372",".701",".118",".329",".312","-5.0","210","97","9549"
"Sean Rodriguez","Pirates","325","592","646","135","82","26","2","25","60","84","29","1","188","12","3","10","19","4","1",".228","4.5 %","29.1 %",".277",".405",".682",".177",".288",".295","-10.9","63","84","6589"
"Jordy Mercer","Pirates","616","1751","1929","430","307","79","11","33","115","169","135","41","323","15","10","18","47","9","4",".246","7.0 %","16.7 %",".304",".360",".663",".114",".283",".284","-48.6","172","77","6547"
"Elias Diaz","Pirates","59","148","159","30","20","9","0","1","9","14","10","0","32","0","1","0","6","0","0",".203","6.3 %","20.1 %",".252",".284",".535",".081",".250",".236","-11.3","8","41","11680"
