"Name","Team","IP","ERA","TBF","H","R","ER","HR","BB","IBB","HBP","SO","AVG","OBP","SLG","wOBA","WHIP","BABIP","HR/9","H/9","xFIP","K%","playerid"
"Danny Duffy","Royals","133.2","1.95","507","88","31","29","3","30","1","3","119",".186",".240",".240",".217","0.88",".241","0.20","5.93","3.49","23.5 %","3542"
"Kelvin Herrera","Royals","164.0","3.07","682","137","61","56","12","63","2","1","178",".222",".296",".345",".283","1.22",".292","0.66","7.52","3.32","26.1 %","6033"
"Nathan Karns","Royals","149.2","3.55","656","134","62","59","15","83","2","2","171",".235",".334",".368",".311","1.45",".309","0.90","8.06","4.05","26.1 %","12638"
"Jason Hammel","Royals","396.2","3.99","1728","403","192","176","57","140","5","22","332",".257",".328",".442",".333","1.37",".294","1.29","9.14","4.61","19.2 %","4538"
"Brandon Maurer","Royals","170.2","4.69","733","168","90","89","19","58","7","3","163",".250",".313",".403",".310","1.32",".304","1.00","8.86","3.94","22.2 %","4878"
"Ian Kennedy","Royals","437.0","4.70","1867","406","247","228","79","158","8","22","415",".241",".315",".458",".332","1.29",".274","1.63","8.36","4.49","22.2 %","6986"
"Wily Peralta","Royals","326.2","4.85","1456","387","198","176","49","121","5","9","233",".292",".358",".485",".364","1.56",".324","1.35","10.66","4.39","16.0 %","7738"
"Justin Grimm","Royals","135.1","5.19","588","130","86","78","19","54","5","5","153",".246",".324",".407",".319","1.36",".311","1.26","8.65","3.59","26.0 %","11720"
"Jesse Hahn","Royals","133.0","5.35","602","152","92","79","16","47","3","9","94",".278",".347",".439",".339","1.50",".312","1.08","10.29","4.46","15.6 %","13287"
